areaCode,areaName,areaType,date,newAdmissions
E40000003,London,nhsRegion,2021-12-07,148
E40000003,London,nhsRegion,2021-12-06,111
E40000003,London,nhsRegion,2021-12-05,120
E40000003,London,nhsRegion,2021-12-04,116
E40000003,London,nhsRegion,2021-12-03,114
E40000003,London,nhsRegion,2021-12-02,100
E40000003,London,nhsRegion,2021-12-01,114
E40000003,London,nhsRegion,2021-11-30,105
E40000003,London,nhsRegion,2021-11-29,101
E40000003,London,nhsRegion,2021-11-28,106
E40000003,London,nhsRegion,2021-11-27,94
E40000003,London,nhsRegion,2021-11-26,106
E40000003,London,nhsRegion,2021-11-25,90
E40000003,London,nhsRegion,2021-11-24,108
E40000003,London,nhsRegion,2021-11-23,81
E40000003,London,nhsRegion,2021-11-22,73
E40000003,London,nhsRegion,2021-11-21,86
E40000003,London,nhsRegion,2021-11-20,86
E40000003,London,nhsRegion,2021-11-19,76
E40000003,London,nhsRegion,2021-11-18,104
E40000003,London,nhsRegion,2021-11-17,96
E40000003,London,nhsRegion,2021-11-16,92
E40000003,London,nhsRegion,2021-11-15,115
E40000003,London,nhsRegion,2021-11-14,105
E40000003,London,nhsRegion,2021-11-13,83
E40000003,London,nhsRegion,2021-11-12,90
E40000003,London,nhsRegion,2021-11-11,106
E40000003,London,nhsRegion,2021-11-10,99
E40000003,London,nhsRegion,2021-11-09,96
E40000003,London,nhsRegion,2021-11-08,121
E40000003,London,nhsRegion,2021-11-07,90
E40000003,London,nhsRegion,2021-11-06,89
E40000003,London,nhsRegion,2021-11-05,82
E40000003,London,nhsRegion,2021-11-04,81
E40000003,London,nhsRegion,2021-11-03,82
E40000003,London,nhsRegion,2021-11-02,100
E40000003,London,nhsRegion,2021-11-01,108
E40000003,London,nhsRegion,2021-10-31,103
E40000003,London,nhsRegion,2021-10-30,80
E40000003,London,nhsRegion,2021-10-29,92
E40000003,London,nhsRegion,2021-10-28,88
E40000003,London,nhsRegion,2021-10-27,98
E40000003,London,nhsRegion,2021-10-26,107
E40000003,London,nhsRegion,2021-10-25,98
E40000003,London,nhsRegion,2021-10-24,96
E40000003,London,nhsRegion,2021-10-23,93
E40000003,London,nhsRegion,2021-10-22,109
E40000003,London,nhsRegion,2021-10-21,71
E40000003,London,nhsRegion,2021-10-20,101
E40000003,London,nhsRegion,2021-10-19,105
E40000003,London,nhsRegion,2021-10-18,94
E40000003,London,nhsRegion,2021-10-17,106
E40000003,London,nhsRegion,2021-10-16,100
E40000003,London,nhsRegion,2021-10-15,99
E40000003,London,nhsRegion,2021-10-14,105
E40000003,London,nhsRegion,2021-10-13,97
E40000003,London,nhsRegion,2021-10-12,93
