areaCode,areaName,areaType,date,variant,cumWeeklySequenced,newWeeklyPercentage
E12000001,North East,region,2022-06-26,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-06-26,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-06-26,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-06-26,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-06-26,VOC-22APR-03 (Omicron BA.4),112185.0,16.7
E12000001,North East,region,2022-06-26,VOC-22APR-04 (Omicron BA.5),112185.0,74.4
E12000001,North East,region,2022-06-26,VOC-22JAN-01 (Omicron BA.2),112185.0,5.9
E12000001,North East,region,2022-06-19,Other,111713.0,2.1
E12000001,North East,region,2022-06-19,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-06-19,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-06-19,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-06-19,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-06-19,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-06-19,VOC-22APR-03 (Omicron BA.4),111713.0,19.0
E12000001,North East,region,2022-06-19,VOC-22APR-04 (Omicron BA.5),111713.0,67.7
E12000001,North East,region,2022-06-19,VOC-22JAN-01 (Omicron BA.2),111713.0,11.2
E12000001,North East,region,2022-06-12,Other,111193.0,1.0
E12000001,North East,region,2022-06-12,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-06-12,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-06-12,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-06-12,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-06-12,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-06-12,VOC-22APR-03 (Omicron BA.4),111193.0,15.9
E12000001,North East,region,2022-06-12,VOC-22APR-04 (Omicron BA.5),111193.0,58.0
E12000001,North East,region,2022-06-12,VOC-22JAN-01 (Omicron BA.2),111193.0,25.1
E12000001,North East,region,2022-06-05,Other,110898.0,1.2
E12000001,North East,region,2022-06-05,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-06-05,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-06-05,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-06-05,V-22OCT-01 (Omicron BQ.1),0.0,0.0
